word,synonyms
অক্ষম1,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত1,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস1,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ1,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ1,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি1,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত1,"দৃঢ়, কঠিন, মজবুত"
দুর্বল1,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর1,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়1,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম2,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত2,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস2,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ2,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ2,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি2,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত2,"দৃঢ়, কঠিন, মজবুত"
দুর্বল2,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর2,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়2,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম3,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত3,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস3,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ3,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ3,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি3,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত3,"দৃঢ়, কঠিন, মজবুত"
দুর্বল3,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর3,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়3,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম4,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত4,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস4,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ4,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ4,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি4,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত4,"দৃঢ়, কঠিন, মজবুত"
দুর্বল4,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর4,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়4,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম5,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত5,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস5,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ5,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ5,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি5,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত5,"দৃঢ়, কঠিন, মজবুত"
দুর্বল5,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর5,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়5,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম6,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত6,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস6,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ6,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ6,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি6,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত6,"দৃঢ়, কঠিন, মজবুত"
দুর্বল6,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর6,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়6,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম7,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত7,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস7,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ7,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ7,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি7,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত7,"দৃঢ়, কঠিন, মজবুত"
দুর্বল7,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর7,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়7,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম8,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত8,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস8,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ8,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ8,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি8,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত8,"দৃঢ়, কঠিন, মজবুত"
দুর্বল8,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর8,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়8,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম9,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত9,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস9,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ9,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ9,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি9,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত9,"দৃঢ়, কঠিন, মজবুত"
দুর্বল9,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর9,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়9,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম10,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত10,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস10,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ10,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ10,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি10,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত10,"দৃঢ়, কঠিন, মজবুত"
দুর্বল10,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর10,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়10,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম11,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত11,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস11,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ11,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ11,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি11,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত11,"দৃঢ়, কঠিন, মজবুত"
দুর্বল11,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর11,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়11,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম12,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত12,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস12,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ12,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ12,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি12,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত12,"দৃঢ়, কঠিন, মজবুত"
দুর্বল12,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর12,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়12,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম13,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত13,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস13,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ13,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ13,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি13,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত13,"দৃঢ়, কঠিন, মজবুত"
দুর্বল13,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর13,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়13,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম14,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত14,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস14,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ14,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ14,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি14,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত14,"দৃঢ়, কঠিন, মজবুত"
দুর্বল14,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর14,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়14,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম15,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত15,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস15,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ15,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ15,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি15,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত15,"দৃঢ়, কঠিন, মজবুত"
দুর্বল15,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর15,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়15,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম16,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত16,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস16,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ16,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ16,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি16,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত16,"দৃঢ়, কঠিন, মজবুত"
দুর্বল16,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর16,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়16,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম17,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত17,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস17,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ17,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ17,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি17,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত17,"দৃঢ়, কঠিন, মজবুত"
দুর্বল17,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর17,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়17,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম18,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত18,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস18,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ18,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ18,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি18,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত18,"দৃঢ়, কঠিন, মজবুত"
দুর্বল18,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর18,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়18,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম19,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত19,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস19,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ19,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ19,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি19,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত19,"দৃঢ়, কঠিন, মজবুত"
দুর্বল19,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর19,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়19,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম20,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত20,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস20,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ20,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ20,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি20,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত20,"দৃঢ়, কঠিন, মজবুত"
দুর্বল20,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর20,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়20,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম21,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত21,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস21,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ21,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ21,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি21,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত21,"দৃঢ়, কঠিন, মজবুত"
দুর্বল21,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর21,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়21,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম22,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত22,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস22,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ22,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ22,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি22,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত22,"দৃঢ়, কঠিন, মজবুত"
দুর্বল22,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর22,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়22,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম23,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত23,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস23,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ23,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ23,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি23,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত23,"দৃঢ়, কঠিন, মজবুত"
দুর্বল23,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর23,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়23,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম24,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত24,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস24,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ24,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ24,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি24,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত24,"দৃঢ়, কঠিন, মজবুত"
দুর্বল24,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর24,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়24,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম25,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত25,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস25,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ25,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ25,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি25,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত25,"দৃঢ়, কঠিন, মজবুত"
দুর্বল25,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর25,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়25,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম26,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত26,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস26,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ26,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ26,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি26,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত26,"দৃঢ়, কঠিন, মজবুত"
দুর্বল26,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর26,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়26,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম27,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত27,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস27,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ27,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ27,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি27,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত27,"দৃঢ়, কঠিন, মজবুত"
দুর্বল27,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর27,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়27,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম28,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত28,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস28,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ28,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ28,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি28,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত28,"দৃঢ়, কঠিন, মজবুত"
দুর্বল28,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর28,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়28,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম29,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত29,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস29,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ29,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ29,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি29,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত29,"দৃঢ়, কঠিন, মজবুত"
দুর্বল29,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর29,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়29,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম30,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত30,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস30,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ30,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ30,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি30,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত30,"দৃঢ়, কঠিন, মজবুত"
দুর্বল30,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর30,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়30,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম31,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত31,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস31,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ31,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ31,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি31,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত31,"দৃঢ়, কঠিন, মজবুত"
দুর্বল31,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর31,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়31,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম32,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত32,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস32,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ32,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ32,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি32,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত32,"দৃঢ়, কঠিন, মজবুত"
দুর্বল32,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর32,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়32,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম33,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত33,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস33,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ33,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ33,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি33,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত33,"দৃঢ়, কঠিন, মজবুত"
দুর্বল33,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর33,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়33,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম34,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত34,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস34,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ34,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ34,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি34,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত34,"দৃঢ়, কঠিন, মজবুত"
দুর্বল34,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর34,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়34,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম35,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত35,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস35,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ35,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ35,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি35,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত35,"দৃঢ়, কঠিন, মজবুত"
দুর্বল35,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর35,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়35,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম36,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত36,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস36,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ36,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ36,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি36,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত36,"দৃঢ়, কঠিন, মজবুত"
দুর্বল36,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর36,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়36,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম37,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত37,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস37,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ37,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ37,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি37,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত37,"দৃঢ়, কঠিন, মজবুত"
দুর্বল37,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর37,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়37,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম38,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত38,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস38,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ38,"সুখ, প্রসন্নতা, আহ্লাদ"
