query,doc_url,language,relevant,annotator,title,notes
metro rail dhaka,https://www.newagebd.net/post/country/283826/7-crude-bombs-found-on-metro-rail-tracks-in-past-few-days-dmtcl,en,1,Rihila,7 crude bombs found on metro rail tracks in past few days: DMTCL,Source: BM25
metro rail dhaka,https://www.dhakatribune.com/bangladesh/398559/metro-rail-services-operating-normally,en,1,Rihila,Metro rail services running smoothly despite strike threat,Source: BM25
metro rail dhaka,https://www.dhakatribune.com/bangladesh/398764/metro-rail-suspends-services-for-40-mins-on,en,1,Rihila,Metro rail suspends services for 40 mins on Victory Day,Source: BM25
metro rail dhaka,https://www.dhakatribune.com/bangladesh/dhaka/398488/metro-rail-employees-to-go-on-indefinite-strike,en,1,Rihila,Metro rail employees to go on indefinite strike from Friday,Source: BM25
metro rail dhaka,https://www.newagebd.net/post/country/284931/commercial-court-ordinance-approved,en,0,Rihila,Commercial court ordinance approved,Source: BM25
metro rail dhaka,https://www.newagebd.net/post/country/276159/dncc-inaugurates-construction-of-three-bridges-on-narai-river,en,0,Rihila,DNCC inaugurates construction of three bridges on Narai River,Source: BM25
metro rail dhaka,https://www.thedailystar.net/news-detail-256893,en,0,Rihila,Myshukur hogs the limelight,Source: BM25
metro rail dhaka,https://www.thedailystar.net/news-detail-260423,en,0,Rihila,"Khulna, Rajshahi 50-50",Source: BM25
metro rail dhaka,https://www.thedailystar.net/news-detail-257683,en,0,Rihila,Mashrafe returns to NCL,Source: BM25
metro rail dhaka,https://www.thedailystar.net/news-in-brief-4961,en,0,Rihila,News in Brief,Source: BM25
মেট্রোরেল ঢাকা,https://www.prothomalo.com/bangladesh/capital/ev4h5f7u5d,bn,1,Rihila,মেট্রোরেলে নিরাপত্তা জোরদার হচ্ছে,Source: BM25
মেট্রোরেল ঢাকা,https://www.jugantor.com/capital/1044793,bn,1,Rihila,আজ রাজধানীর যেসব সড়ক এড়িয়ে চলার অনুরোধ ডিএমপির,Source: BM25
মেট্রোরেল ঢাকা,https://www.dhakapost.com/law-courts/190663,bn,1,Rihila,মেট্রোরেলে ঢিল ছোড়ার মামলার প্রতিবেদন ৭ জুন,Source: BM25
মেট্রোরেল ঢাকা,https://www.jugantor.com/capital/1044589,bn,1,Rihila,তারেক রহমানের স্বদেশ প্রত্যাবর্তন: ঢাকাবাসীর জন্য বিশেষ ট্রাফিক নির্দেশনা,Source: BM25
মেট্রোরেল ঢাকা,https://www.prothomalo.com/business/economics/48og8i3d2v,bn,1,Rihila,৯ মাসেই বিদেশি ঋণের সুদ দিতে হলো শতকোটি ডলারের বেশি,Source: BM25
মেট্রোরেল ঢাকা,https://www.prothomalo.com/onnoalo/stories/0l61s1x2gs,bn,0,Rihila,লিভ ইন রিলেশনশিপ,Source: BM25
মেট্রোরেল ঢাকা,https://www.jugantor.com/politics/1044887,bn,0,Rihila,ঢাকা-১৫ আসনে মনোনয়নপত্র নিলেন জামায়াত আমির,Source: BM25
মেট্রোরেল ঢাকা,https://www.prothomalo.com/opinion/column/i9rntu2nfk,bn,0,Rihila,ঢাকা–কুমিল্লা বৈদ্যুতিক রেলপথ কেন নয়,Source: BM25
মেট্রোরেল ঢাকা,https://www.jugantor.com/country-news/1044279,bn,0,Rihila,খন্দকার আবু আশফাকের পক্ষে মনোনয়নপত্র সংগ্রহ,Source: BM25
